location_name,address_line1,exciting_site
WONDERLAND OF THE AMERICAS,4522 FRED RD.,TRUE
AMERICAN AIRLINES CENTER,2500 VICTORY AVE,TRUE
ALFRED J LOOS SPORTS COMPLEX,3815 SPRING VALLEY RD,TRUE
LAKESIDE ACTIVITY CENTER,101 HOLLEY PARK DR,TRUE
SAINT JOHN LUTHERAN CHURCH GYM,15235 SPRING CYPRESS ROAD,TRUE
BANNWORTH GYM,1822 N. SHARY RD.,TRUE
UT GREGORY GYM,2101 SPEEDWAY,TRUE
OC SPORTS CENTER,201 W UNIVERSITY,TRUE
NRG ARENA - DRIVE THRU,1 NRG PKWY,TRUE
RICE STADIUM (GATE 1),2050 UNIVERSITY,TRUE
AT&T CENTER,1 AT&T CENTER PARKWAY,TRUE
AMERICAN AIRLINES CENTER,2500 VICTORY AVE,TRUE
TOYOTA CENTER - DRIVE THRU,1510 POLK ST,TRUE
MALL OF ABILENE,4310 BUFFALO GAP ROAD,TRUE
EARLY-SIKES SENTER MALL,3111 MIDWESTERN PKWY,TRUE
MUSIC CITY MALL,240 S. STEMMONS FRWY.,TRUE
SUNLAND PARK MALL,750 SUNLAND PARK DR,TRUE
COPPELL ARTS CENTER,505 TRAVIS ST,TRUE
IRVING ARTS CENTER,3333 N. MACARTHUR BLVD,TRUE
SHADY HOLLOW VILLAGE SHOPPING CENTER,9901 BRODIE LN,TRUE
SHOPS AT ARBOR WALK,10515 N MOPAC EXPWY,TRUE
CARPENTER PARK RECREATION CENTER,6701 COIT ROAD,TRUE
DRIPPING SPRINGS RANCH PARK,1042 EVENT CENTER,TRUE
ALZAFAR SHRINE AUDITORIUM,901 N. LOOP 1604 W.,TRUE
BERT OGDEN ARENA,4900 S. I-69C,TRUE
HORSESHOE AREANA,2514 ARENA TRAIL,TRUE
SPRINGPARK SPORTS CLUB,3330 SPRINGPARK WAY,TRUE
CAVINESS SPORTSPLEX,525 S KINGWOOD,TRUE
OC SPORTS CENTER,201 W UNIVERSITY,TRUE
BBVA STADIUM,2200  STREET,TRUE
LEGACY STADIUM,1830 KATYLAND DRIVE,TRUE
10 VICTORIA FINE ARTS CENTER ANNEX,1002 SAM HOUSTON,TRUE
THE GRANVILLE ARTS CENTER AT ATRIUM,300 N 5TH ST,TRUE
ED-MUSEUM OF NATURAL SCIENCE,13016 UNIVERSITY BLVD.,TRUE
BUDDY'S BAR,2409 GRANT STREET SUITE A,TRUE
ED-JONES CREEK RANCH PARK,7714 FM 359 RD,TRUE
RENAISSANCE AUSTIN HOTEL,9721 ARBORETUM BLVD,TRUE
